,text
2129,"<|endoftext|>Louie obtained 80% on a math quiz. He had 5 mistakes. How many items were there on the math quiz?: Louie got 100% - 80% = 20% of the total items incorrect, which is equal to 5 items.
So 1% is equal to 5/20 = 1/4 of an item.
Hence, the total number of items, represented by 100%, on the math quiz was 1/4 of an item x 100 = <<1/4*100=25>>25.
#### 25<|endoftext|>"
2130,"<|endoftext|>John eats a bag of chips for dinner and then eats twice as many after dinner.  How many bags of chips did he eat?: He ate 2 * 1 = <<2*1=2>>2 bags after dinner
So he ate 2 + 1 = <<2+1=3>>3 bags of chips
#### 3<|endoftext|>"
2131,"<|endoftext|>Jason is climbing a telephone pole next to a tree his friend Matt is climbing. Matt can climb 6 feet/minute and Jason can climb 12 feet per minute. After 7 minutes, how much higher will Jason be than Matt?: First find the distance Matt climbs in 7 minutes: 6 feet/minute * 7 minutes = <<6*7=42>>42 feet
Then find the distance Jason climbs in 7 minutes: 12 feet/minute * 7 minutes = <<12*7=84>>84 feet
Then subtract the distance Matt climbs from the distance Jason climbs to find the difference: 84 feet - 42 feet = <<84-42=42>>42 feet
#### 42<|endoftext|>"
2132,"<|endoftext|>Davida worked 35 hours on each of Weeks 1 and 2. She worked 48 hours each of Weeks 3 and 4. How many more hours did Davida work on Weeks 3 and 4 than on Weeks 1 and 2?: Week 1 + Week 2 = 35 + 35 = <<35+35=70>>70 hours
Week 3 + Week 4 = 48 + 48 = <<48+48=96>>96 hours
Subtract Weeks 3-4 from Weeks 1-2 = 96 - 70 = <<96-70=26>>26
#### 26<|endoftext|>"
2133,"<|endoftext|>Howard is taking his kindergarten class to the museum on a school trip. He splits the class equally into 3 groups and then each of the groups goes through the museum one student at a time. If the class has 18 students in total and each student takes 4 minutes to go through the museum, then how long, in minutes, does it take each group to go through the museum?: As the groups are equally sized, they must each have 18 students in the class / 3 groups = <<18/3=6>>6 students in each group.
So each group takes 6 students in each group * 4 minutes per each student’s trip = <<6*4=24>>24 minutes to go through the museum.
#### 24<|endoftext|>"
2134,"<|endoftext|>Jeff’s swimming coach required him to swim 98 laps over the weekend. On Saturday, Jeff swam 27 laps. On Sunday morning, he swam 15 laps, took a break, then resumed practice in the afternoon. How many laps did Jeff have remaining when he took the break?: After Jeff swam on Saturday, there remained 98 - 27 = <<98-27=71>>71 laps
After Sunday morning’s 15 laps there remained 71 - 15 = <<71-15=56>>56 laps
Therefore, when Jeff took the break, he had 56 laps remaining
#### 56<|endoftext|>"
2135,"<|endoftext|>James gets 3 parking tickets.  The first 2 cost $150 each and the third cost 1/3 as much as one of these.  His roommate agrees to pay half the cost.  How much money does he have left if he had $500 in the bank?: The third ticket cost $150/3=$<<150/3=50>>50
So the tickets cost $150*2+$50=$<<150*2+50=350>>350
That means he paid $350/2=$<<350/2=175>>175
So he had $500 - $175 = $<<500-175=325>>325 left over
#### 325<|endoftext|>"
2136,"<|endoftext|>Kelly booked a three week vacation to visit relatives.  The first day, she spent traveling.  The next 5 days she spent at her Grandparents' house.  The next day, she spent traveling.  Then, she spends the next 5 days at her brother's house.  Then she spent two days traveling to her sister's house, spent several days at her sister's house, and then spent two more days traveling home.  How many days did she spend at her sister's house?: Three weeks is 7*3=<<7*3=21>>21 days.
She traveled one day to her grandparents' house, one day to her brother's house, two days to her sister's house, and two days back home for a total of 1+1+2+2=<<1+1+2+2=6>>6 days.
She spent 5 days at her grandparents' house and 5 days at her brother's house, for a total of 5+5=<<5+5=10>>10 days.
Thus, of the 21 vacation days, the number of days remaining to spend with her sister was 21-6-10=<<21-6-10=5>>5 days.
#### 5<|endoftext|>"
2137,"<|endoftext|>A salon has the same amount of customers every day. Each customer needs 1 can of hairspray during the styling and is also given 1 can of hairspray to take home. The salon also buys an extra 5 cans of hairspray each day to ensure there is never a shortage. If the salon buys 33 cans of hairspray every day, how many customers do they have each day?: Removing the surplus hairspray shows the salon needs 33 total cans of hairspray – 5 surplus cans of hairspray = <<33-5=28>>28 cans of hairspray for each customer.
Each customer needs 1 can of hairspray for styling + 1 can of hairspray to take home = <<1+1=2>>2 cans of hairspray.
So the salon has a total of 28 cans of hairspray / 2 cans of hairspray per customer = <<28/2=14>>14 customers.
#### 14<|endoftext|>"
2138,"<|endoftext|>Tom and his friends were filling up water balloons. Tom filled up 3 times as many water balloons as Luke. Luke filled up one fourth as many balloons as Anthony. If Anthony filled up 44 water balloons, how many did Tom fill up?: Luke filled up 44/4=<<44/4=11>>11 water balloons
Tom filled up 11*3=<<11*3=33>>33 water balloons
#### 33<|endoftext|>"
2139,"<|endoftext|>There are 120 cards in a box. If 2/5 of the cards are red, exactly 5/9 of the remainder are black, and the rest are green, calculate the number of green cards in the box?: The number of red cards in the box, 2/5 of the total number, is 2/5*120 = <<2/5*120=48>>48.
The number of cards that are not red is 120-48 = <<120-48=72>>72.
If 5/9 of the remaining cards are black, then there are 5/9*72 = <<5/9*72=40>>40 black cards in the box.
If the remaining cards are green, then there are 72-40 = <<72-40=32>>32 green cards in the box.
#### 32<|endoftext|>"
2140,"<|endoftext|>Janet is considering two options to retile her bathroom. The turquoise tiles cost $13/tile and the purple tiles cost $11/tile. If Janet needs to tile two walls that measure 5 feet by 8 feet and 7 feet by 8 feet, and each square foot of wall takes 4 tiles, how much will Janet save by buying the purple tiles instead of the turquoise ones?: First find the area of the first wall: 5 feet * 8 feet = <<5*8=40>>40 square feet
Then find the area of the second wall: 7 feet * 8 feet = <<7*8=56>>56 square feet
Then add the areas of the two walls to find the total area: 40 square feet + 56 square feet = <<40+56=96>>96 square feet
Then divide the number of square feet by the number of tiles per square foot to find the total number of tiles needed: 96 square feet * 4 tiles/square foot = <<96*4=384>>384 tiles
Then find the difference in cost per tile: $13/tile - $11/tile = $<<13-11=2>>2/tile
Then multiply the number of tiles by the cost difference per tile to find the total cost difference: $2/tile * 384 tiles = $<<2*384=768>>768
#### 768<|endoftext|>"
2141,"<|endoftext|>Martine has 6 more than twice as many peaches as Benjy. Benjy has one-third as many peaches as Gabrielle. If Martine has 16 peaches, how many does Gabrielle have?: Benjy has b peaches.
Martine has 6+2b=16 peaches
2b=10
b=5
Then Gabrielle has 5*3=<<5*3=15>>15.
#### 15<|endoftext|>"
2142,"<|endoftext|>John is 15 cm taller than Lena and 6 cm shorter than Rebeca. If John has a height of 152 cm, what is the height of Lena and Rebeca together?: Lena is 152 cm - 15 cm = <<152-15=137>>137 cm tall
Rebeca is 152 cm + 6 cm = <<152+6=158>>158 cm tall
So, the total height of Lena and Rebeca would be 137 cm + 158 cm = <<137+158=295>>295 cm.
#### 295<|endoftext|>"
2143,"<|endoftext|>Heather helps her neighbour pick weeds out of her garden. She gets paid 5 cents for every weed she picks. On average, how many seconds can she take to pick a weed if she wants to earn $10 an hour?: In an hour, she needs to earn $10 * 100 cents / $1 = <<10*100=1000>>1000 cents.
In an hour, she must pick 1000 cents / 5 cents = <<1000/5=200>>200 weeds.
There are 1hr * (60 minutes / 1 hr) = <<1*60=60>>60 minutes in an hour.
There are 60 minutes * (60 seconds / 1 minute) = <<60*(60/1)=3600>>3600 seconds in an hour.
She has 3600 seconds / 200 = <<3600/200=18>>18 seconds to pick each weed.
#### 18<|endoftext|>"
2144,"<|endoftext|>Emmalyn decided to paint fences in her neighborhood for twenty cents per meter. If there were 50 fences in the neighborhood that she had to paint and each fence was 500 meters long, calculate the total amount she earned from painting the fences.: The total length for the fifty fences is 50*500 = <<50*500=25000>>25000 meters.
If Emmalyn charged twenty cents to paint a meter of a fence, the total income she got from painting the fences is $0.20*25000 =$5000
#### 5000<|endoftext|>"
2145,"<|endoftext|>While shopping, Greg spent 300$ on a shirt and shoes. If Greg spent 9 more than twice as much on shoes as he did a shirt, how much did Greg spend on a shirt?: Let x be the amount spent on a shirt.
Greg spent 2x+9 dollars on shoes.
300=x+(2x+9)
300=3x+9
291=3x
x=<<97=97>>97$
Greg spent 97$ on a shirt.
#### 97<|endoftext|>"
2146,"<|endoftext|>Dennis lives two floors above Charlie. Charlie lives on a floor whose number is 1/4 Frank's floor number. Frank lives on the 16th floor. What floor does Dennis live on?: First find Charlie's floor number by dividing Frank's floor number by 4: 16 / 4 = <<16/4=4>>4
Then add 2 to find Dennis' floor number: 4 + 2 = <<4+2=6>>6
#### 6<|endoftext|>"
2147,"<|endoftext|>A train takes 2 hours longer to go an equal distance of a car. If the car and the train leave station A at the same time, and the car reaches station B 4.5 hours later, calculate the combined time the car and the train take to reach station B.: Since the train takes 2 hours longer to go an equal distance as the car, to reach station B, the train took 4.5+2 = 6.5 hours.
Together, the train and the car take a total of 6.5+4.5 = <<6.5+4.5=11>>11 hours to travel from station A to station B.
#### 11<|endoftext|>"
2148,"<|endoftext|>Mark is baking bread. He has to let it rise for 120 minutes twice. He also needs to spend 10 minutes kneading it and 30 minutes baking it. How many minutes does it take Mark to finish making the bread?: First find the total rise time: 120 minutes * 2 = <<120*2=240>>240 minutes
Then add the rise time to the baking and kneading time: 240 minutes + 10 minutes + 30 minutes = <<240+10+30=280>>280 minutes
#### 280<|endoftext|>"
2149,"<|endoftext|>Brittany got a 78 on her first test. After her second test, her average rose to an 81. What grade did she get on her second test?: First multiply her average grade by the number of tests she took to find the total number of points she scored: 81 points * 2 = <<81*2=162>>162 points
Then subtract the number of points she scored on her first exam to find how many points she scored on her second exam: 162 points - 78 points = <<162-78=84>>84 points
#### 84<|endoftext|>"
2150,"<|endoftext|>John buys bags of popcorn for $4 and sells them for $8.  How much profit does he get by selling 30 bags?: Each bag makes a profit of 8-4=$<<8-4=4>>4
So he makes a total profit of 30*4=$<<30*4=120>>120
#### 120<|endoftext|>"
2151,"<|endoftext|>Carla's order at Mcdonald's costs $7.50, but she has a coupon for $2.50. If she gets an additional 20% discount for being a senior citizen, how much does she pay for her order in dollars total?: First subtract the coupon amount from the price of the food: $7.50 - $2.50 = $<<7.5-2.5=5.00>>5.00
Then subtract 20% from 100% to find out what percentage of the reduced price Carla pays: 100% - 20% = 80%
Now multiply the price after the coupon by the percentage Carla pays to find the final price: $5.00 * .8 = $<<5*.8=4.00>>4.00
#### 4<|endoftext|>"
2152,"<|endoftext|>Mickey and Johnny are having a contest to see who can run around their block the most. One time around the block equals 200 meters. Johnny runs around the block 4 times. Mickey runs around the block half as many times as Johnny. What is the average distance run by Johnny and Mickey?: Mickey runs around the block twice because half of 4 is <<4/2=2>>2.
Mickey runs 400 meters in total because 2 times 200 equals <<2*200=400>>400.
Johnny runs 800 meters because 4 times 200 equals <<4*200=800>>800.
In total, they run 1200 meters because 400 plus 800 equals 1200.
On average, they run 600 meters because 1200 divided by 2 equals <<1200/2=600>>600
#### 600<|endoftext|>"
2153,"<|endoftext|>Dennis wants to buy 4 pairs of pants from the store which cost $110.00 each with a 30% discount and he also wants to buy 2 pairs of socks which cost $60.00 with a 30% discount. How much money will Dennis have to spend in total after he bought all the items he wants after the discount?: Dennis wants to buy 4 pairs of pants which cost 110x4= $<<110*4=440>>440.
And he also wants to buy 2 pairs of socks that cost 60x2= $<<60*2=120>>120.
The total amount he needs to spend without the discount is 440+120= $<<440+120=560>>560.
The discount he will have amounts to $560x.0.30= $168.00.
So the total amount he needs to spend after deducting the discount from the total amount is 560-168=$<<560-168=392>>392.
#### 392<|endoftext|>"
2154,"<|endoftext|>An old car can drive 8 miles in one hour. After 5 hours of constant driving, the car needs to get cooled down which takes 1 hour. How many miles can this car drive in 13 hours?: In 5 hours the car can drive 8 * 5 = <<8*5=40>>40 miles.
One cycle of driving and pause takes 5 + 1 = <<5+1=6>>6 hours.
In 13 hours this cycle can fit 13 / 6 = 2 full cycles with a remainder of 1 hour
Two cycles will last for 2 * 6 = <<2*6=12>>12 hours.
During two full cycles, the car will drive 40 * 2 = <<40*2=80>>80 miles.
So there is 13 - 12 = <<13-12=1>>1 remaining hour when the car can drive.
That means during 13 hours the car will be able to drive 80 + 8 = 88 miles.
#### 88<|endoftext|>"
2155,"<|endoftext|>Victoria was given a $50 bill by her mother to buy her friends snacks for their group meeting. She bought 2 boxes of pizza that costs $12 each and 2 packs of juice drinks that cost $2 each. How much money should Victoria return to her mother?: Two boxes of pizza amount to $12 x 2 = $<<12*2=24>>24.
Two packs of juice amount to $2 x 2 = $<<2*2=4>>4.
Victoria paid a total of $24 + $4 = $<<24+4=28>>28.
Hence, she should return the $50 - $28 = $<<50-28=22>>22 to her mother.
#### 22<|endoftext|>"
